YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED
2017,12,1,12/1/17,WN,6247,10257,1025702,30257,ALB,10821,1082104,30852,BWI,1600,1602,2,1720,1707,0,0
2017,12,1,12/1/17,WN,5705,10257,1025702,30257,ALB,11292,1129202,30325,DEN,1900,1855,0,2120,2106,0,0
2017,12,1,12/1/17,WN,127,10257,1025702,30257,ALB,11697,1169704,32467,FLL,745,747,2,1100,1040,0,0
2017,12,1,12/1/17,WN,1969,10257,1025702,30257,ALB,13204,1320402,31454,MCO,700,656,0,1005,937,0,0
2017,12,1,12/1/17,WN,5970,10257,1025702,30257,ALB,13204,1320402,31454,MCO,1355,1351,0,1655,1631,0,0
2017,12,1,12/1/17,WN,129,10257,1025702,30257,ALB,13232,1323202,30977,MDW,550,544,0,720,701,0,0
2017,12,1,12/1/17,WN,139,10257,1025702,30257,ALB,13232,1323202,30977,MDW,1715,1711,0,1835,1813,0,0
2017,12,1,12/1/17,WN,2003,10257,1025702,30257,ALB,15304,1530402,33195,TPA,1230,1224,0,1540,1510,0,0
2017,12,1,12/1/17,WN,225,10397,1039705,30397,ATL,12953,1295302,31703,LGA,845,840,0,1100,1053,0,0
2017,12,1,12/1/17,WN,1775,10397,1039705,30397,ATL,12953,1295302,31703,LGA,600,558,0,805,755,0,0
2017,12,1,12/1/17,WN,5470,10397,1039705,30397,ATL,12953,1295302,31703,LGA,1930,1936,6,2140,2218,38,0
2017,12,1,12/1/17,WN,5812,10397,1039705,30397,ATL,12953,1295302,31703,LGA,1215,1220,5,1425,1430,5,0
2017,12,1,12/1/17,WN,6302,10397,1039705,30397,ATL,12953,1295302,31703,LGA,1530,1541,11,1745,1753,8,0
2017,12,1,12/1/17,WN,356,10693,1069302,30693,BNA,12953,1295302,31703,LGA,1000,955,0,1305,1252,0,0
2017,12,1,12/1/17,WN,1579,10693,1069302,30693,BNA,12953,1295302,31703,LGA,635,630,0,945,936,0,0
2017,12,1,12/1/17,WN,6202,10693,1069302,30693,BNA,12953,1295302,31703,LGA,1645,1708,23,1950,2016,26,0
2017,12,1,12/1/17,WN,136,10792,1079204,30792,BUF,10821,1082104,30852,BWI,1230,1220,0,1340,1313,0,0
2017,12,1,12/1/17,WN,545,10792,1079204,30792,BUF,10821,1082104,30852,BWI,1625,1621,0,1735,1718,0,0
2017,12,1,12/1/17,WN,1599,10792,1079204,30792,BUF,10821,1082104,30852,BWI,1050,1045,0,1200,1154,0,0
2017,12,1,12/1/17,WN,1943,10792,1079204,30792,BUF,10821,1082104,30852,BWI,900,856,0,1010,959,0,0
2017,12,1,12/1/17,WN,3555,10792,1079204,30792,BUF,10821,1082104,30852,BWI,1710,1704,0,1820,1808,0,0
2017,12,1,12/1/17,WN,1677,10792,1079204,30792,BUF,11697,1169704,32467,FLL,505,504,0,825,747,0,0
2017,12,1,12/1/17,WN,411,10792,1079204,30792,BUF,12889,1288903,32211,LAS,950,945,0,1155,1131,0,0
2017,12,1,12/1/17,WN,492,10792,1079204,30792,BUF,13204,1320402,31454,MCO,545,540,0,835,829,0,0
2017,12,1,12/1/17,WN,3409,10792,1079204,30792,BUF,13204,1320402,31454,MCO,1210,1205,0,1450,1423,0,0
2017,12,1,12/1/17,WN,4004,10792,1079204,30792,BUF,13232,1323202,30977,MDW,625,624,0,715,654,0,0
2017,12,1,12/1/17,WN,4040,10792,1079204,30792,BUF,13232,1323202,30977,MDW,1420,1417,0,1500,1445,0,0
2017,12,1,12/1/17,WN,5730,10792,1079204,30792,BUF,13232,1323202,30977,MDW,1720,1730,10,1805,1801,0,0
2017,12,1,12/1/17,WN,1700,10792,1079204,30792,BUF,14107,1410702,30466,PHX,1800,1800,0,2110,2057,0,0
2017,12,1,12/1/17,WN,1536,10792,1079204,30792,BUF,15304,1530402,33195,TPA,500,459,0,755,727,0,0
2017,12,1,12/1/17,WN,6043,10792,1079204,30792,BUF,15304,1530402,33195,TPA,1610,1608,0,1855,1834,0,0
2017,12,1,12/1/17,WN,156,10821,1082104,30852,BWI,10257,1025702,30257,ALB,2235,2231,0,2350,2337,0,0
2017,12,1,12/1/17,WN,1755,10821,1082104,30852,BWI,10257,1025702,30257,ALB,1930,1924,0,2045,2029,0,0
2017,12,1,12/1/17,WN,2003,10821,1082104,30852,BWI,10257,1025702,30257,ALB,1045,1039,0,1200,1148,0,0
2017,12,1,12/1/17,WN,5737,10821,1082104,30852,BWI,10257,1025702,30257,ALB,1555,1550,0,1710,1654,0,0
2017,12,1,12/1/17,WN,122,10821,1082104,30852,BWI,10792,1079204,30792,BUF,2240,2233,0,2355,2333,0,0
2017,12,1,12/1/17,WN,1581,10821,1082104,30852,BWI,10792,1079204,30792,BUF,1925,1936,11,2035,2035,0,0
2017,12,1,12/1/17,WN,1625,10821,1082104,30852,BWI,10792,1079204,30792,BUF,1045,1037,0,1155,1138,0,0
2017,12,1,12/1/17,WN,1871,10821,1082104,30852,BWI,10792,1079204,30792,BUF,1445,1442,0,1550,1547,0,0
